id,nombre_Producto,tipo,masa,peso
1,Annie,refrigerado,gas,64716
2,Elvira,refrigerado,gas,17646
3,Christian,refrigerado,solida,96660
4,Carlie,inflamable,solida,84448
5,Cristian,refrigerado,gas,96688
6,Eba,refrigerado,solida,33950
7,Richmond,normal,solida,19011
8,Ilario,refrigerado,liquida,10749
9,Maddalena,normal,solida,14771
10,Boris,normal,solida,4374
11,Aubine,inflamable,gas,60871
12,Milli,inflamable,gas,20913
13,Camella,inflamable,gas,53147
14,Alphonse,inflamable,gas,61737
15,Laverne,inflamable,liquida,18772
16,Nanete,refrigerado,gas,90748
17,Mona,normal,liquida,57498
18,Rea,refrigerado,solida,90261
19,Melinde,inflamable,gas,21162
20,Janot,refrigerado,solida,59279
21,Philomena,normal,solida,39549
22,Lauraine,inflamable,gas,84092
23,Jordanna,normal,liquida,88842
24,Gayle,normal,liquida,2817
25,Herculie,refrigerado,gas,10784
26,Carlita,refrigerado,solida,67277
27,Darb,inflamable,liquida,86862
28,Linet,normal,solida,47374
29,Almira,normal,gas,30221
30,Morly,normal,gas,43989
31,Suzie,inflamable,solida,16512
32,Maxine,normal,solida,48936
33,Dunn,normal,gas,95305
34,Luca,inflamable,liquida,56402
35,Kendal,refrigerado,liquida,54706
36,Moishe,inflamable,gas,39289
37,Lebbie,inflamable,solida,73944
38,Simone,refrigerado,gas,9607
39,Elbertina,refrigerado,liquida,61024
40,Breanne,normal,gas,13453
41,Whitman,normal,gas,1056
42,Hewe,refrigerado,liquida,47205
43,Katherine,inflamable,liquida,96548
44,Sergent,inflamable,solida,28239
45,Tiff,normal,solida,61859
46,Lynett,inflamable,solida,34783
47,Will,normal,liquida,81216
48,Luca,refrigerado,solida,62847
49,Phillipe,normal,solida,14798
50,Vittorio,normal,solida,56879
51,Dirk,normal,gas,29071
52,Suellen,inflamable,gas,4679
53,Nicolis,refrigerado,solida,79652
54,Nico,normal,gas,75159
55,Joellen,normal,liquida,55980
56,Paxton,refrigerado,solida,64253
57,Alexa,normal,liquida,95149
